Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID
CNG,Clean Energy - National Grid Canarsie Service Center,8424 Ditmas Ave,"From Shore Parkway, take Rockaway Parkway N, left onto Ditmas Avenue, station on the left",Brooklyn,NY,11236,1599,718-270-5866,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,B,3000 3600,,,,,,,200-8,40.645196,-73.917927,2011-06-30,112
CNG,City of Corpus Christi Gas Department,4225 S Port Ave,,Corpus Christi,TX,78415,5311,361-885-6910,E,,Public - see hours,8am-5pm M-F,Cash Checks A D M V,,Q,2400 3000,,,,,,,200-8,27.750055,-97.421115,2011-10-31,118
CNG,Con Edison - West 29th Street Service Center,W 29th St & 12th Ave,In Manhattan,New York,NY,10001,,212-643-3054,E,,Public - card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,GPS,40.75385,-74.007259,2011-02-28,124
CNG,Con Edison - East 16th Street Service Center,700 E 16th St,"In Manhattan at Avenue C and E 16th. Broadway: Turn east onto 14th Street, left onto 1st Avenue at 16th Street intersection",New York,NY,10003,7004,212-460-6708,E,,Public - card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,200-8,40.7297044,-73.9746877,2011-02-28,125
CNG,Con Edison - Van Nest Service Center,1615 Bronxdale Ave,"Hutchinson River Parkway, exit onto E Tremont Avenue W, right onto Bronxdale Avenue, station on the left. From I-95, take Castle Hill Avenue exit north to E Tremont and Bronx",Bronx,NY,10462,3301,718-904-4504,E,,Public - card key at all times,"8am-6pm M-F, call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,40.8437,-73.857686,2011-02-28,129
CNG,Con Edison - Rye Service Center,178 Theodore Fremd Ave,"I-95/New England Thruway, exit 19 onto Playland Parkway Service Road going south, left onto Theo Fremd, station on left",Rye,NY,10580,2896,914-933-2910,E,,Public - card key at all times,24 hours daily; call 718-204-4048 to arrange for card key,,,Q,3000,,,,,,,200-8,40.9793046,-73.6916728,2011-02-28,130
CNG,Clean Energy - New York State Department of Transportation,1 Dana Rd,"Route 9A & Dana Rd; Route 87 to Exit 8 (Route 287 east), take Exit 2 to Route 9A (north)",Valhalla,NY,10595,,866-278-3674  914-592-6557,E,,Public - card key at all times,24 hours daily; call 781-685-2912 for Clean Energy card,CleanEnergy,,Q,3000 3600,,,,,,,200-8,41.0823173,-73.8133384,2011-06-30,131
CNG,Con Edison - College Point Service Center,124-15 31st Ave,"From I-678/Whitestone Expressway, exit at Linden Place, I-678 service road W, right onto 31st Avenue, station at intersection with College Point Boulevard",Queens,NY,11354,,718-321-4608,E,,Public - card key at all times,"7am-11pm M-F, 7am-3pm Sat-Sun; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,40.767802,-73.845956,2011-02-28,132
CNG,City of Enumclaw,2041 Railroad St,,Enumclaw,WA,98022,3500,,E,,Private access only,,,,Q,2400 3000,,,,,,,200-8,47.2063745,-121.9855027,2011-01-31,134
CNG,Clean Energy - National Grid Cape Cod,127 Whites Path,"US-6, exit 8, Station Avenue and turn left onto Whites Path",South Yarmouth,MA,02664,1228,800-233-5325,E,,Public - credit card at all times,24 hours daily; debit cards not accepted,M V Wright_Exp PHH,,Q,3000 3600,,,,,,,200-8,41.688787,-70.201253,2011-06-30,139
CNG,Florida City Gas,4180 US Highway 1 S,,Rockledge,FL,32955,5309,,P,2012-03-15,PLANNED - not yet accessible,,,,Q,3000,,,,,,,200-8,28.2907321,-80.6985901,2011-06-30,140
CNG,Lanesdale Facility - Citizens Energy Group,2150 Dr Martin Luther King Jr St,,Indianapolis,IN,46202,,317-927-6000,E,,Public - card key at all times,24 hours daily; contact Mark Ryan at 317-927-4661 to arrange for card key,,,B,3000 3600,,,,,,,200-8,39.797769,-86.173036,2011-05-31,146
CNG,Greene's Auto & Truck Service - Citizens Energy Group,111 W Raymond St,"I-65, exit onto Raymond Street W",Indianapolis,IN,46225,1937,317-786-6253,E,,Public - card key after hours,8am-5pm M-F; contact Mark Ryan at 317-927-4661 to arrange for card key,Cash M V,,Q,3000 3600,,,,,,,200-8,39.7363349,-86.160971,2011-05-31,147
CNG,DTE Energy - Citizens Gas Fuel Co,117 N Winter St,"US-223 follow Business Route 223 into Adrian, station behind Adrian State Bank",Adrian,MI,49221,2042,517-264-4447  517-265-2144,E,,Public - call ahead,8am-4:30pm M-F,Cash,,Q,3000,,,,,,,200-8,41.8995629,-84.0375507,2012-02-29,156
CNG,Sandusky International,615 W Market St,"Columbus Avenue and Market Street, station is 3 blocks west of intersection",Sandusky,OH,44871,5012,,E,,Private access only,,,,Q,3000,,,,,,,200-8,41.454931,-82.717608,2011-02-28,185
CNG,Columbia Gas of Pennsylvania - Zappi Oil & Gas Co,44 Bridge St,"I-70, exit onto Jefferson Avenue S, right onto Oakland Avenue, left onto Bridge Street, station is on the right (SW side) near the Oakland and Jefferson Avenue intersection",Washington,PA,15301,5306,724-416-6324,P,2012-06-01,PLANNED - not yet accessible,24 hours daily; contact station for required company card; public - card key at all times,,,Q,3600,,,,,,,200-8,40.1775838,-80.2616651,2011-12-31,197
CNG,Clean Energy - Cheyenne Light Fuel & Power,1301 W 24th St,"From I-25 take exit 10, Missile Drive, go approximately 0.5 miles southeast to W 24th Street ( traffic light), turn northeast (left) onto W 24th Street.  Fueling Station is located approximately 0.5 blocks on right",Cheyenne,WY,82001,2601,307-778-2150,E,,Public - credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,B,3000 3600,,,,,,,200-8,41.1360534,-104.8319365,2011-06-30,215
CNG,Shell,131 Brainard Rd,"I-91, exit 27, at Murphy Road",Hartford,CT,06114,1604,860-278-7044,E,,Public - see hours,24 hours daily,Cash A D M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,41.7369158,-72.660058,2012-02-29,248
CNG,Entergy Gas Operations,4637 Florida Blvd,"I-10, exit 158 N, College Drive, left on Foster Drive, left on Florida, 1 block on right. Unmanned Sullivan Oil station.",Baton Rouge,LA,70805,4024,225-354-3289,E,,Public - credit card at all times,24 hours daily,M V FuelMan,,Q,3600,,,,,,,200-8,30.4507275,-91.1426352,2011-03-31,295
CNG,Entergy Gas Operations,8968 S Choctaw Dr,2 miles east of Airline Highway/Highway 61,Baton Rouge,LA,70815,,225-354-3289,E,,Public - card key at all times,24 hours daily,FuelMan,,Q,3600,,,,,,,200-8,30.4716104,-91.0887154,2011-03-31,296
CNG,Ohio Department of Transportation - District 12,5500 Transportation Blvd,At I-480,Garfield Heights,OH,44125,5396,,E,,Private access only,,,,B,3000,,,,,,,200-8,41.415286,-81.615551,2011-02-28,307
CNG,Elizabethtown Gas Co,520 Green Ln,,Union,NJ,07083,7136,,E,,Private access only,,,,B,3000,,,,,,,200-8,40.6765,-74.2483,2011-02-28,322
CNG,Clean Energy - O'Rourke,227 McCarty Rd,"I-10, McCarty exit or I-610 exit, Wallisville Road",Houston,TX,77029,1137,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp,,Q,3000,,,,,,,200-8,29.7875569,-95.2797765,2011-06-30,333
CNG,Clean Energy - East Side Animal Control Center,8920 Lomas Blvd NE,"Timed-fill at Animal Control Center, Quick-fill in lot adjacent to it",Albuquerque,NM,87112,,,E,,Private - government only,,,,B,3000,,,,,,,200-8,35.0867885,-106.5450022,2011-11-30,350
CNG,Clean Energy - Santa Fe Trails Transit,2931 Rufina St,,Santa Fe,NM,87507,2928,505-955-2001,E,,Public - credit card at all times,24 hours daily,M V CleanEnergy,,Q,3000 3600,,,,,,,200-8,35.6578276,-105.9933382,2011-06-30,360
CNG,Kansas Gas Service,11401 W 89th St,"Between I-35 and Highway 69, off 87th Street exit",Overland Park,KS,66214,1705,913-319-8600,E,,Public - credit card at all times,24 hours daily. NOTE: 3600 psi may not be available for heavy-duty vehicles,M V,,Q,3000 3600,,,,,,,200-8,38.966048,-94.716947,2011-05-31,372
CNG,Intermountain Gas Co,555 S Cole Rd,,Boise,ID,83709,0940,,E,,Private access only,,,,Q,3000,,,,,,,200-8,43.599167,-116.275946,2012-02-29,408
CNG,Intermountain Gas Co,12584 W Tyhee Rd,,Pocatello,ID,83202,5111,,E,,Private access only,,,,Q,3000,,,,,,,200-8,42.9496325,-112.468075,2012-02-29,413
CNG,Intermountain Gas Co,687 Blue Lakes Blvd N,,Twin Falls,ID,83301,6547,,E,,Private access only,,,,Q,3000,,,,,,,200-8,42.573928,-114.461154,2012-02-29,414
CNG,Intermountain Gas Co,1527 Hollipark,,Idaho Falls,ID,83402,3217,,E,,Private access only,,,,Q,3000,,,,,,,200-8,43.509729,-112.007445,2012-02-29,415
CNG,Intermountain Gas Co,2921 Caldwell Blvd,,Nampa,ID,83651,6499,,E,,Private access only,,,,Q,3000,,,,,,,200-8,43.615117,-116.618458,2012-02-29,416
CNG,ValleyRide,4788 S Orchard,,Boise,ID,83705,4953,,E,,Private access only,,,,Q,3600,,,,,,,200-8,43.5588593,-116.2437304,2011-01-31,418
CNG,Kansas Gas Service,200 E 1st Ave,"I-70 N, 4th Street exit, to 1st Avenue and Monroe, in Building B",Topeka,KS,66603,,913-319-8600,E,,Public - credit card at all times,24 hours daily; 3600 psi may not be available for heavy-duty vehicles,M V,,Q,3000 3600,,,,,,,GPS,39.058747,-95.667889,2011-10-31,434
CNG,Long Beach Water Department,1800 E Wardlow Rd,,Long Beach,CA,90807,4994,,E,,Private access only,,,,Q,3000,,,,,,,200-8,33.8189035,-118.1697942,2011-04-30,436
CNG,Laclede Gas Company - Central,3950 Forest Park Blvd,,Saint Louis,MO,63108,,,E,,Private access only,,,,T,3000,,,,,,,200-8,38.634723,-90.2442389,2011-01-31,439
CNG,Laclede Gas Co - Shrewsbury Facility,4118 Shrewsbury Ave,"Intersection of I-44 and Shrewsbury. Customers must meet vehicular requirements, contact station for details.",Saint Louis,MO,63119,2115,314-342-0684,E,,Public - call ahead,6:30am-6pm M-F; no weekend/holiday hours; call station number for access requirements; FuelMan card required,FuelMan,,Q,3000 3600,,,,,,,200-8,38.598614,-90.323459,2011-03-31,440
CNG,Clean Energy - National Grid Brentwood Service Center,1650 Islip Ave,"I-495, exit onto SR-111 S, station is on the right in KeySpan yard",Brentwood,NY,11717,5294,631-348-6179,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.784165,-73.219242,2011-06-30,448
CNG,Clean Energy - National Grid Hicksville Headquarters,175 E Old Country Rd,"From I-495 exit onto SR-107 S, left onto E Old Country Road, station on the right in KeySpan yard",Hicksville,NY,11801,4257,516-545-4148,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.76616,-73.512375,2011-06-30,449
CNG,Clean Energy - City of Irving,128 N Briery Rd,"From Rock Island Road, north on Briery Road",Irving,TX,75061,6326,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy,,Q,3000,,,,,,,200-8,32.817883,-96.988716,2011-06-30,453
CNG,Clean Energy - Downtown Dallas,801 S Riverfront,Located at Fuel City Truck Stop,Dallas,TX,75207,,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp,,Q,3000 3600,,,,,,,GPS,32.776194,-96.813944,2012-02-29,456
CNG,Fort Worth Transportation Authority - The T,1600 E Lancaster Ave,,Fort Worth,TX,76102,6727,,E,,Private - government only,,,,Q,3000 3600,,,,,,,200-8,32.7458021,-97.3110842,2011-11-30,465
CNG,Clean Energy - Garland,3526 Security St,"I-635, north on Jupiter Road, right on Security Street",Garland,TX,75042,7626,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy,,Q,3000,,,,,,,200-8,32.8972525,-96.6837518,2011-06-30,477
CNG,Montana-Dakota Utilities Co,801 Airport Rd,"I-94, exit 37, south on Bismark Expressway, north on Airport Road",Bismarck,ND,58504,6112,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key,,,Q,2400 3000,,,,,,,200-8,46.7968696,-100.7628074,2011-07-31,490
CNG,Montana-Dakota Utilities Co,1133 W Broadway St,"I-94, exit 61 S onto State Route 22, railroad underpass to Broadway, west on 11th Avenue S",Dickinson,ND,58601,5514,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key,,,Q,2400 3000,,,,,,,200-8,46.8759992,-102.80606,2011-07-31,491
CNG,Montana-Dakota Utilities Co,408 N 18th St,"I-90, exit 450 N onto S 27th Street, east on 4th Avenue N, north on N 18th",Billings,MT,59101,1441,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key for 24 hour access,,,Q,2400 3000,,,,,,,200-8,45.7906579,-108.4961408,2011-07-31,494
CNG,Montana-Dakota Utilities Co,2001 N Merrill Ave,"I-94, exit onto 215, south on Merrill Avenue, station on left",Glendive,MT,59330,1927,701-224-5807,E,,Public - card key at all times,Call ahead for paid access 8am-5pm M-F; contact station to arrange for card key,,,Q,2400 3000,,,,,,,200-8,47.129381,-104.693883,2011-07-31,497
CNG,Baggs Station - Questar Gas,140 N Penland St,,Baggs,WY,82321,,,E,,Private access only,,,,T,3000,,,,,,,200-8,41.0333719,-107.6578538,2011-05-31,499
CNG,Hiawatha Station - Questar Gas,1401 New Hampshire St,,Rock Springs,WY,82901,,,E,,Private access only,,,,T,3000,,,,,,,200-8,41.5781246,-109.2044771,2011-12-31,503
CNG,Questar Gas - Rock Springs,1401 New Hampshire St,,Rock Springs,WY,82901,7271,307-352-7383  801-324-5987,E,,Public - credit card at all times,24 hours daily,M V FuelMan,,Q,3000,,,,,,,200-8,41.578125,-109.2044766,2011-04-30,507
CNG,Church Buttes Station - Questar Gas,I-80,13 miles east of Lyman on I-80,Lyman,WY,82937,,,E,,Private access only,,,,T,3000,,,,,,,200-6,41.36279,-110.319347,2011-05-31,512
CNG,Lyman Station - Questar Gas,233 N Main St,,Lyman,WY,82937,,,E,,Private access only,,,,B,3000,,,,,,,200-8,41.3305868,-110.292953,2011-05-31,513
CNG,Coalville Station - Questar Gas,590 Border Station Rd,,Coalville,UT,84017,9704,801-324-3900,E,,Private access only,,,,T,3000,,,,,,,200-8,40.9142929,-111.3719269,2011-03-31,514
CNG,Heber Service Center - Questar Gas,167 W Center St,,Heber,UT,84032,1817,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,40.507338,-111.416305,2011-03-31,515
CNG,Orem City,955 N 900 W,,Orem,UT,84057,3060,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.3147779,-111.717746,2011-03-31,519
CNG,Top Stop,2010 N Park Ave,"I-80, exit 145/Kimball Junction, 5 miles on SR-224, station on left",Park City,UT,84060,,435-649-3689,E,,Public - see hours,24 hours daily,Cash A D M V GasCard,,Q,3000,,,,,,,200-8,40.662426,-111.511947,2011-04-30,520
CNG,Roosevelt Service Center - Questar Gas,115 E 100 S,,Roosevelt,UT,84066,2904,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,40.2981207,-109.9900856,2011-03-31,521
CNG,Questar Gas - Sandy,9150 S 500 W,Exit 298 off I-15,Sandy,UT,84070,,801-324-3900 801-324-5987,E,,Public - credit card at all times,24 hours daily,M V,,Q,3000 3600,,,,,,,200-8,40.5831159,-111.907707,2011-12-31,522
CNG,Jordan School District,7387 S Campus View Dr,,West Jordan,UT,84084,,801-567-8100,E,,Public - card key at all times,24 hours daily,GasCard,,Q,3000,,,,,,,200-8,40.6273683,-111.9841401,2011-04-30,523
CNG,Coca-Cola Swire Holding Co,12634 S 265 W,,Draper,UT,84119,1111,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,40.5221682,-111.8990002,2011-03-31,527
CNG,Questar Gas - Salt Lake City,1150 W 200 S,,Salt Lake City,UT,84104,1804,801-324-5987,E,,Public - credit card at all times,24 hours daily,M V GasCard Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.7649995,-111.9240049,2011-12-31,528
CNG,Salt Lake Operations Center,1078 W 100 S,,Salt Lake City,UT,84104,1802,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.7671886,-111.91969,2011-03-31,534
CNG,Baxter Field Station - Wexpro,79 S State St,,Salt Lake City,UT,84111,1517,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.7674289,-111.8881275,2011-03-31,536
CNG,Tesoro,1699 W North Temple,"I-80, exit 118 onto Redwood Road N, at Redwood Road",Salt Lake City,UT,84116,,801-596-7784,E,,Public - credit card at all times,24 hours daily,M V Wright_Exp,,Q,3600,,,,,,,200-8,40.7714565,-111.9390772,2011-03-31,538
CNG,Utah Power,1355 W North Temple,,Salt Lake City,UT,84116,3220,,E,,Private access only,,,,Q,3000,,,,,,,200-8,40.7714919,-111.9310749,2011-03-31,539
CNG,Coca-Cola Swire Pacific Holdings,2280 S 3270 W,,Salt Lake City,UT,84119,1112,,E,,Private access only,,,,Q,3000,,,,,,,200-8,40.7222673,-111.96926,2011-03-31,541
CNG,Salt Lake County Oxbow Prison,3148 S 1100 W,,Salt Lake City,UT,84119,3304,,E,,Private - government only,,,,T,3000,,,,,,,200-8,40.702332,-111.923647,2011-03-31,542
CNG,Salt Lake City International Airport Authority,600 N 3700 W,AMF Box 22084,Salt Lake City,UT,84122,,,E,,Private access only,,,,Q,3000,,,,,,,200-6,40.7746769,-111.980174,2011-03-31,544
CNG,LW's Conoco,1050 W 200 N,"Main St in Logan, west on 2nd N, 10 blocks west",Logan,UT,84321,,435-753-7461,E,,Public - see hours,24 hours daily,Cash A D M V,,Q,3000,,,,,,,200-8,41.7356284,-111.8606015,2011-04-30,548
CNG,Phillips 66,2105 S 1100 W,"I-15, exit onto 21st Street",Ogden,UT,84401,0278,801-392-5010  801-392-9516,E,,Public - see hours,24 hours daily,Cash Checks A D M V GasCard Wright_Exp,,Q,3000,,,,,,,200-8,41.2282785,-112.0062349,2011-04-30,552
CNG,Ogden Time Fill - Questar Gas,2940 Washington Blvd,,Ogden,UT,84401,3721,801-324-3900,E,,Private access only,,,,T,3000,,,,,,,200-8,41.211248,-111.969673,2011-03-31,553
CNG,Lifetime Products,97 E 700 S,Building F12,Clearfield,UT,84015,,,E,,Private access only,,,,Q,3000,,,,,,,GPS,41.103937,-112.024368,2011-12-31,556
CNG,Sinclair,850 S Carbon Ave,"I-70 W, exit 156 US-6/191 N, State Route 10 and US-6/191",Price,UT,84501,4366,435-637-4002,E,,Public - see hours,24 hours daily,Cash A D M V GasCard,,Q,3000,,,,,,,200-8,39.5869839,-110.8125565,2011-04-30,558
CNG,Price Operations Center,322 W 1100 N,,Price,UT,84501,3925,,E,,Private access only,,,,T,3000,,,,,,,200-8,39.6170269,-110.8227794,2011-03-31,559
CNG,Ephraim Service Center - Questar Gas,320 S 50 W,,Ephraim,UT,84627,1392,801-324-3900,E,,Private access only,,,,Q,3000,,,,,,,200-8,39.3543013,-111.5883377,2011-03-31,563
CNG,Fillmore Station - Questar Gas,690 N Main St,,Fillmore,UT,84631,4070,,E,,Private access only,,,,Q,3000,,,,,,,200-8,38.9841696,-112.323678,2011-12-31,564
CNG,Picksweet Farms,400 S Park Ave,,Fillmore,UT,84631,5005,,E,,Private access only,,,,Q,3000,,,,,,,200-6,38.9500861,-112.3535331,2011-03-31,565
CNG,Questar Gas - Chevron,1060 S Highway 99,,Fillmore,UT,84631,,801-324-5987,E,,Public - see hours,6am-10pm daily,Cash Checks A D M V,,Q,3000,,,,,,,200-8,38.9504201,-112.3440383,2011-04-30,566
CNG,Candi's Apple Juice,615 E 400 N,,Santaquin,UT,84655,5009,,E,,Private access only,,,,T,3000,,,,,,,200-8,40.003993,-111.8322248,2011-03-31,567
CNG,Chevron,1375 N Main St,"I-70, exit 40, station on right",Richfield,UT,84701,1861,435-896-8352,E,,Public - see hours,6am-10pm daily,Cash A D M V,,Q,3000,,,,,,,200-8,38.7841118,-112.0843125,2011-04-30,569
CNG,Cedar Service Center - Questar Gas,260 E 2015 N,,Cedar City,UT,84720,,801-324-3900,E,,Private access only,,,,B,3000,,,,,,,200-8,37.7139528,-113.0547452,2011-03-31,571
CNG,Enterprise Station,946 N Production Rd,Cedar City Center,Cedar City,UT,84721,,,E,,Private access only,,,,Q,3000,,,,,,,GPS,37.693536,-113.094439,2011-12-31,572
CNG,KB Express,734 S Main St,"I-15, exit 59, east on 200 North St, right on Main, station on right",Cedar City,UT,84720,3572,435-586-1344,E,,Public - see hours,24 hours daily,Cash A D M V Wright_Exp,,Q,3000,,,,,,,200-8,37.6639145,-113.0668854,2011-04-30,573
CNG,Saint George Center - Questar Gas,350 N 1155 E,,Saint George,UT,84770,,801-324-3900,E,,Private access only,,,,T,3000,,,,,,,200-8,37.1140163,-113.5586433,2011-12-31,574
CNG,Shell,915 E Saint George Blvd,"I-15, exit 8, west on Saint George Blvd, between 900 East St and 1000 E",Saint George,UT,84770,3039,435-656-1350,E,,Public - see hours,24 hours daily,Cash A D M V GasCard,,Q,3000,,,,,,,200-8,37.110213,-113.563803,2011-04-30,575
CNG,City of Thomson,317 Railroad St,,Thomson,GA,30824,2034,,E,,Private - government only,,,,B,2400,,,,,,,200-8,33.4678128,-82.4964078,2011-06-30,589
CNG,Madison Gas & Electric Co,645 E Main St,"I-94, E Washington Ave, left on Blount St, right on Railroad St",Madison,WI,53703,2912,,E,,Private - fleet customers only,8am-4:30pm M-F,,,Q,3000,,,,,,,200-8,43.0786599,-89.3761872,2011-08-31,595
CNG,Mobile Gas Service Corp,2828 Dauphin St,Off I-65,Mobile,AL,36606,2493,,E,,Private - fleet customers only,,,,B,3600,,,,,,,200-8,30.6887105,-88.1090373,2011-10-31,597
CNG,Carburetion & Turbo Systems Inc,1897 Eagle Creek Blvd,,Shakopee,MN,55379,2703,952-445-3910,E,,Private access only,Private access only; emergency access available on a call ahead basis,,,Q,3000,,,,,,,200-8,44.7903329,-93.497732,2011-07-31,603
